csv_category,nav_top_menu,nav_column,nav_item_matched,status
Gas Cylinder Trolleys - Reflex UK,GAS & OXY-FUEL,"Gas Hoses, Fittings & Storage",Gas Cylinder Trolleys,MAPPED
Gas Delivery & Control,GAS & OXY-FUEL,Gas Regulators & Delivery,[Parent],MAPPED
Gas Economisers - Oxy/Acetylene,GAS & OXY-FUEL,Gas Regulators & Delivery,Gas Economisers / Flowmeters,MAPPED
Gas Economisers - Spares,GAS & OXY-FUEL,Gas Regulators & Delivery,Gas Economisers / Flowmeters,MAPPED
Gas Economisers / Flowmeters,GAS & OXY-FUEL,Gas Regulators & Delivery,Gas Economisers / Flowmeters,MAPPED
Gas Flow Components,GAS & OXY-FUEL,Gas Regulators & Delivery,[Sub-cat],MAPPED
Gas Fluxers,GAS & OXY-FUEL,Oxy-Fuel Welding Equipment,[Sub-cat],MAPPED
Gas Fluxers & Fluxes,GAS & OXY-FUEL,Oxy-Fuel Welding Equipment,[Sub-cat],MAPPED
Gas Hose and Regulator Fittings,GAS & OXY-FUEL,"Gas Hoses, Fittings & Storage",[Parent],MAPPED
Gases other than Oxy/Oxy Mixture,GAS & OXY-FUEL,"Gas Hoses, Fittings & Storage",High Pressure Gas Hoses,MAPPED
Generators,WELDING MACHINES,Welding Power & Cooling,Generators,MAPPED
Gold Bridge Alignment Clamps,PIPE WELDING,Pipe Welding Clamps,Bridge Clamps,MAPPED
Gouging Nozzles AGNM,PLASMA CUTTING,Oxy-Fuel Cutting Nozzles,Oxy/Acetylene Gouging Nozzles AGNM,MAPPED
Grinding Discs,ABRASIVES,Cutting & Grinding Discs,Grinding Discs,MAPPED
HD Welding Nozzles - Oxy/Acetylene,GAS & OXY-FUEL,Oxy-Fuel Welding Equipment,Welding Nozzles (DH/HD),MAPPED
Handheld Tungsten Grinders,TIG WELDING,TIG Welding Accessories,Tungsten Grinders - Handheld,MAPPED
Hard Facing MIG Wire,MIG WELDING,MIG Welding Wire,Hard Facing MIG Wire,MAPPED
