old_url,depth,matched_category_name,new_url,match_type,match_method,confidence,status,notes,is_cross_linked,consolidation_count
https://www.weldingandwelder.com/category/pipe-stands-pipe-clamps/pipe-welding-tools-accessories/weld-backing-tape/fibreglass-weld-backing-tape/,4,Fibreglass Weld Backing Tape,/workshop/pipe/backing-tape/fibreglass-weld-backing-tape,exact,Leaf slug 'fibreglass-weld-backing-tape' → CSV 'Fibreglass Weld Backing Tape',high,MAPPED,Subcategory override: 'Fibreglass Weld Backing Tape' → /workshop/pipe/backing-tape/fibreglass-weld-backing-tape,,
https://www.weldingandwelder.com/category/air-tools-air-compressors/air-tools/air-screwdrivers/,3,Air Screwdrivers,/workshop/air-tools/screwdrivers,exact,Leaf slug 'air-screwdrivers' → CSV 'Air Screwdrivers',high,MAPPED,Item match: Air Screwdrivers,,
https://www.weldingandwelder.com/category/pipe-stands-pipe-clamps/pipe-welding-clamps/chain-pipe-alignment-clamps/,3,Chain Pipe Alignment Clamps,/workshop/pipe/clamps/chain/chain-pipe-alignment-clamps,exact,Leaf slug 'chain-pipe-alignment-clamps' → CSV 'Chain Pipe Alignment Clamps',high,MAPPED,Subcategory override: 'Chain Pipe Alignment Clamps' → /workshop/pipe/clamps/chain/chain-pipe-alignment-clamps,,
https://www.weldingandwelder.com/category/gas-welding-equipment/gas-hose-and-regulator-fittings/hose-fittings/hose-check-valves-torch-fitting/,4,Hose Check Valves - Torch Fitting,/gas-oxy-fuel/fittings/hose-check-valves-torch-fitting,exact,Leaf slug 'hose-check-valves-torch-fitting' → CSV 'Hose Check Valves - Torch Fitting',high,MAPPED,Subcategory override: 'Hose Check Valves - Torch Fitting' → /gas-oxy-fuel/fittings/hose-check-valves-torch-fitting,,
https://www.weldingandwelder.com/category/pipe-stands-pipe-clamps/pipe-welding-tools-accessories/pipe-measuring-marking-tools/,3,Pipe Measuring & Marking Tools,/workshop/pipe/measuring/pipe-measuring-and-marking-tools,exact,Leaf slug 'pipe-measuring-marking-tools' → CSV 'Pipe Measuring & Marking Tools',high,MAPPED,Subcategory override: 'Pipe Measuring & Marking Tools' → /workshop/pipe/measuring/pipe-measuring-and-marking-tools,,
https://www.weldingandwelder.com/category/pipe-stands-pipe-clamps/pipe-welding-tools-accessories/pipe-measuring-marking-tools/pipe-centering-heads/,4,Pipe Centering Heads,/workshop/pipe/measuring/pipe-centering-heads,exact,Leaf slug 'pipe-centering-heads' → CSV 'Pipe Centering Heads',high,MAPPED,Subcategory override: 'Pipe Centering Heads' → /workshop/pipe/measuring/pipe-centering-heads,,
https://www.weldingandwelder.com/category/pipe-stands-pipe-clamps/pipe-cutting-equipment/pipe-bevellers/prep-2-pipe-preparation-machines/,4,Prep 2 Pipe Preparation Machines,/workshop/pipe/bevelling/prep-2-pipe-preparation-machines,exact,Leaf slug 'prep-2-pipe-preparation-machines' → CSV 'Prep 2 Pipe Preparation Machines',high,MAPPED,Subcategory override: 'Prep 2 Pipe Preparation Machines' → /workshop/pipe/bevelling/prep-2-pipe-preparation-machines,,
https://www.weldingandwelder.com/category/welding-equipment/weld-cleaning-machines/stainless-steel-weld-cleaning/tig-wand-rapid/,4,TIG Wand Rapid,/tig-welding/weld-cleaning/tig-wand-rapid,exact,Leaf slug 'tig-wand-rapid' → CSV 'TIG Wand Rapid',high,MAPPED,Subcategory override: 'TIG Wand Rapid' → /tig-welding/weld-cleaning/tig-wand-rapid,,
https://www.weldingandwelder.com/category/welding-tools-benches/hand-tools-tool-cabinets/pliers-wrenches/,3,Plier Sets,/workshop/tools/kits/plier-sets,exact,Leaf slug 'pliers-wrenches' → CSV 'Plier Sets',high,MAPPED,Subcategory override: 'Plier Sets' → /workshop/tools/kits/plier-sets,,
https://www.weldingandwelder.com/category/safety-equipment/fire-barrier-fabric/,2,Fire Barrier Fabric,/safety/fire-barrier,exact,Leaf slug 'fire-barrier-fabric' → CSV 'Fire Barrier Fabric',high,MAPPED,Item match: Fire Barrier Fabric,,
