ID,SKU,Name,Old Categories,New Categories,Status
5640,7010491-5640,Exact Diamond 140 Cut & Bevel Disc 140mm – Heavy Duty Diamond Disc for Cast Iron & Plastic - DISCONTINUED,Pipe Welding & Cutting Equipment > Pipe Cutting Equipment > Pipe Saws > Exact Pipe Saws > Exact Saw Blades > 140mm Saw Blades & Diamond Cutting Discs,PIPE WELDING > Pipe Cutting & Preparation > Exact Pipe Saws,MAPPED
5641,7011100,Exact Cut Bevel Blade – Cut and Bevel Plastic Pipes in One Process (7010499),Pipe Welding & Cutting Equipment > Pipe Cutting Equipment > Pipe Saws > Exact Pipe Saws > Exact Saw Blades > 140mm Saw Blades & Diamond Cutting Discs,PIPE WELDING > Pipe Cutting & Preparation > Exact Pipe Saws,MAPPED
5643,7010487,"Exact TCT 165mm Saw Blade – Multi-Purpose Cutting for Steel, Copper, Aluminum & Plastic (7010487)",Pipe Welding & Cutting Equipment > Pipe Cutting Equipment > Pipe Saws > Exact Pipe Saws > Exact Saw Blades > 165mm Saw Blades & Diamond Cutting Discs,PIPE WELDING > Pipe Cutting & Preparation > Exact Pipe Saws,MAPPED
5644,7010497,"Exact Cermet 165mm Saw Blade – Cuts Stainless Steel, Steel, Copper & Plastic (7010497)",Pipe Welding & Cutting Equipment > Pipe Cutting Equipment > Pipe Saws > Exact Pipe Saws > Exact Saw Blades > 165mm Saw Blades & Diamond Cutting Discs,PIPE WELDING > Pipe Cutting & Preparation > Exact Pipe Saws,MAPPED
5646,70104502,Exact Cermet Blade - X165 - for Stainless Steel-Steel-Copper-Plastic [DISCONTINUED],Pipe Welding & Cutting Equipment > Pipe Cutting Equipment > Pipe Saws > Exact Pipe Saws > Exact Saw Blades > 165mm Saw Blades & Diamond Cutting Discs,PIPE WELDING > Pipe Cutting & Preparation > Exact Pipe Saws,MAPPED
5648,7010493,"Exact Diamond 165mm Saw Blade – Cuts Cast Iron, Ductile Iron & Glass Fiber (7010493)",Pipe Welding & Cutting Equipment > Pipe Cutting Equipment > Pipe Saws > Exact Pipe Saws > Exact Saw Blades > 165mm Saw Blades & Diamond Cutting Discs,PIPE WELDING > Pipe Cutting & Preparation > Exact Pipe Saws,MAPPED
5650,7011101,Exact Alu 140 140mm Saw Blade – Tungsten Carbide Blade for Aluminum & Plastic (7011101),Pipe Welding & Cutting Equipment > Pipe Cutting Equipment > Pipe Saws > Exact Pipe Saws > Exact Saw Blades > 165mm Saw Blades & Diamond Cutting Discs,PIPE WELDING > Pipe Cutting & Preparation > Exact Pipe Saws,MAPPED
5652,7010498,Exact Cermet V155 155mm Saw Blade – Ceramic Alloy Blade for Thin Sheet Materials & Spiral Ducts (7010498),Pipe Welding & Cutting Equipment > Pipe Cutting Equipment > Pipe Saws > Exact Pipe Saws > Exact Saw Blades > Special Blades,PIPE WELDING > Pipe Cutting & Preparation > Exact Pipe Saws,MAPPED
5654,7010489,Exact TCT P150 150mm Saw Blade – Tungsten Carbide Blade for Plastic Pipes Only (7010489),Pipe Welding & Cutting Equipment > Pipe Cutting Equipment > Pipe Saws > Exact Pipe Saws > Exact Saw Blades > Special Blades,PIPE WELDING > Pipe Cutting & Preparation > Exact Pipe Saws,MAPPED
5656,7010499,Exact Cut Bevel Blade – Cut and Bevel Plastic Pipes in One Process (7010499),Pipe Welding & Cutting Equipment > Pipe Cutting Equipment > Pipe Saws > Exact Pipe Saws > Exact Saw Blades > Special Blades,PIPE WELDING > Pipe Cutting & Preparation > Exact Pipe Saws,MAPPED
5657,7010506,Exact - PipeBench 170 - Cutting Set,"Pipe Welding & Cutting Equipment > Pipe Cutting Equipment > Pipe Saws > Exact Pipe Saws > Exact 170 Pipe Cutting Benches, Pipe Welding & Cutting Equipment > Pipe Stands > Roller Pipe Stands","PIPE WELDING > Pipe Cutting & Preparation > Exact Pipe Saws, PIPE WELDING > Pipe Stands & Handling > Roller Stands",MAPPED
5661,7010505,Exact Pipe Saw - PipeBench 170 - with Accessories,Pipe Welding & Cutting Equipment > Pipe Cutting Equipment > Pipe Saws > Exact Pipe Saws > Exact 170 Pipe Cutting Benches,PIPE WELDING > Pipe Cutting & Preparation > Exact Pipe Saws,MAPPED
5663,7010495,Exact - PipeBench 170 - without Accessories,"Pipe Welding & Cutting Equipment > Pipe Cutting Equipment > Pipe Saws > Exact Pipe Saws > Exact 170 Pipe Cutting Benches, Pipe Welding & Cutting Equipment > Pipe Stands > Roller Pipe Stands","PIPE WELDING > Pipe Cutting & Preparation > Exact Pipe Saws, PIPE WELDING > Pipe Stands & Handling > Roller Stands",MAPPED
